frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml
cc_50_mcav_7,coral_city,50,7,montastrea_cavernosa,0.839,0.224,0.224,0.018,1.914179018
cc_50_mcav_7,coral_city,50,7,montastrea_cavernosa,0.779,0.281,0.249,0.026,1.914179018
cc_50_mcav_7,coral_city,50,7,montastrea_cavernosa,0.84,0.326,0.252,0.028,1.914179018
cc_50_mcav_7,coral_city,50,7,montastrea_cavernosa,0.781,0.35,0.221,0.043,1.914179018
cc_50_mcav_8,coral_city,50,8,montastrea_cavernosa,1.04,0.294,0.311,0.031,1.914179018
cc_50_mcav_8,coral_city,50,8,montastrea_cavernosa,1.264,0.384,0.339,0.047,1.914179018
cc_50_mcav_8,coral_city,50,8,montastrea_cavernosa,1.087,0.345,0.44,0.098,1.914179018
cc_50_mcav_8,coral_city,50,8,montastrea_cavernosa,1.343,0.329,0.382,0.074,1.914179018
mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.97,0.368,0.321,0.067,1.089390457
mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.867,0.325,0.294,0.103,1.089390457
mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.704,0.292,0.234,0.069,1.089390457
mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.94,0.311,0.262,0.073,1.089390457
mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.808,0.423,0.317,0.34,1.089390457
mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.905,0.348,0.218,0.262,1.089390457
mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.839,0.324,0.369,0.215,1.089390457
mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.881,0.395,0.243,0.169,1.089390457
mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.607,0.305,0.23,0.108,1.089390457
mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.908,0.312,0.338,0.143,1.089390457
mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.974,0.352,0.216,0.115,1.089390457
mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.8,0.419,0.322,0.123,1.089390457
mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.437,0.418,0.39,0.033,1.089390457
mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.312,0.352,0.401,0.034,1.089390457
mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.074,0.428,0.427,0.095,1.089390457
mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.108,0.23,0.298,0.051,1.089390457
mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.99,0.234,0.344,0.071,1.089390457
mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.959,0.237,0.354,0.056,1.089390457
mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.86,0.253,0.31,0.019,1.089390457
mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.773,0.266,0.35,0.047,1.089390457
mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.27,0.458,0.317,0.046,1.089390457
mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.082,0.469,0.396,0.074,1.089390457
mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.267,0.483,0.407,0.038,1.089390457
mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.163,0.485,0.294,0.053,1.089390457
mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,1.058,0.35,0.236,0.019,1.089390457
mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,1.051,0.346,0.339,0.059,1.089390457
mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,0.778,0.235,0.281,0.031,1.089390457
mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,0.693,0.259,0.195,0.058,1.089390457
mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,1.005,0.392,0.424,0.036,1.089390457
mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,0.984,0.46,0.377,0.038,1.089390457
